Well,Time(s),Temp(C),Channel,Value,Date,Start_Time
A1,0,27.4,A590,0.8752,2019-08-06,12:52:20
A2,0,27.4,A590,0.70153,2019-08-06,12:52:20
A3,0,27.4,A590,0.49828,2019-08-06,12:52:20
A4,0,27.4,A590,0.38692,2019-08-06,12:52:20
A5,0,27.4,A590,0.31692,2019-08-06,12:52:20
B1,0,27.4,A590,0.85026,2019-08-06,12:52:20
B2,0,27.4,A590,0.68074,2019-08-06,12:52:20
B3,0,27.4,A590,0.48248,2019-08-06,12:52:20
B4,0,27.4,A590,0.37624,2019-08-06,12:52:20
B5,0,27.4,A590,0.30478,2019-08-06,12:52:20
C1,0,27.4,A590,0.86538,2019-08-06,12:52:20
C2,0,27.4,A590,0.67077,2019-08-06,12:52:20
C3,0,27.4,A590,0.51357,2019-08-06,12:52:20
C4,0,27.4,A590,0.37405,2019-08-06,12:52:20
C5,0,27.4,A590,0.31876,2019-08-06,12:52:20
D1,0,27.4,A590,0.84404,2019-08-06,12:52:20
D2,0,27.4,A590,0.47403,2019-08-06,12:52:20
D3,0,27.4,A590,0.46837,2019-08-06,12:52:20
D4,0,27.4,A590,0.47232,2019-08-06,12:52:20
D5,0,27.4,A590,0.049302,2019-08-06,12:52:20
E1,0,27.4,A590,0.4696,2019-08-06,12:52:20
E2,0,27.4,A590,0.45455,2019-08-06,12:52:20
E3,0,27.4,A590,0.47496,2019-08-06,12:52:20
E4,0,27.4,A590,0.05156,2019-08-06,12:52:20
E5,0,27.4,A590,0.049552,2019-08-06,12:52:20
F1,0,27.4,A590,0.41873,2019-08-06,12:52:20
F2,0,27.4,A590,0.43752,2019-08-06,12:52:20
F3,0,27.4,A590,0.4278,2019-08-06,12:52:20
F4,0,27.4,A590,0.049694,2019-08-06,12:52:20
F5,0,27.4,A590,0.049795,2019-08-06,12:52:20
G1,0,27.4,A590,0.42059,2019-08-06,12:52:20
G2,0,27.4,A590,0.36725,2019-08-06,12:52:20
G3,0,27.4,A590,0.41799,2019-08-06,12:52:20
G4,0,27.4,A590,0.049057,2019-08-06,12:52:20
G5,0,27.4,A590,0.049277,2019-08-06,12:52:20
H1,0,27.4,A590,0.051989,2019-08-06,12:52:20
H2,0,27.4,A590,0.050655,2019-08-06,12:52:20
H3,0,27.4,A590,0.050512,2019-08-06,12:52:20
H4,0,27.4,A590,0.04931,2019-08-06,12:52:20
H5,0,27.4,A590,0.050503,2019-08-06,12:52:20
A1,17,27.5,A450,0.20423,2019-08-06,12:52:20
A2,17,27.5,A450,0.26004,2019-08-06,12:52:20
A3,17,27.5,A450,0.3163,2019-08-06,12:52:20
A4,17,27.5,A450,0.37682,2019-08-06,12:52:20
A5,17,27.5,A450,0.39325,2019-08-06,12:52:20
B1,17,27.5,A450,0.2075,2019-08-06,12:52:20
B2,17,27.5,A450,0.26519,2019-08-06,12:52:20
B3,17,27.5,A450,0.31841,2019-08-06,12:52:20
B4,17,27.5,A450,0.36108,2019-08-06,12:52:20
B5,17,27.5,A450,0.39676,2019-08-06,12:52:20
C1,17,27.5,A450,0.22138,2019-08-06,12:52:20
C2,17,27.5,A450,0.26627,2019-08-06,12:52:20
C3,17,27.5,A450,0.35392,2019-08-06,12:52:20
C4,17,27.5,A450,0.35494,2019-08-06,12:52:20
C5,17,27.5,A450,0.39804,2019-08-06,12:52:20
D1,17,27.5,A450,0.21194,2019-08-06,12:52:20
D2,17,27.5,A450,0.33221,2019-08-06,12:52:20
D3,17,27.5,A450,0.32943,2019-08-06,12:52:20
D4,17,27.5,A450,0.33181,2019-08-06,12:52:20
D5,17,27.5,A450,0.052279,2019-08-06,12:52:20
E1,17,27.5,A450,0.34415,2019-08-06,12:52:20
E2,17,27.5,A450,0.33222,2019-08-06,12:52:20
E3,17,27.5,A450,0.34779,2019-08-06,12:52:20
E4,17,27.5,A450,0.055288,2019-08-06,12:52:20
E5,17,27.5,A450,0.052535,2019-08-06,12:52:20
F1,17,27.5,A450,0.35144,2019-08-06,12:52:20
F2,17,27.5,A450,0.3734,2019-08-06,12:52:20
F3,17,27.5,A450,0.36456,2019-08-06,12:52:20
F4,17,27.5,A450,0.052098,2019-08-06,12:52:20
F5,17,27.5,A450,0.052139,2019-08-06,12:52:20
G1,17,27.5,A450,0.36356,2019-08-06,12:52:20
G2,17,27.5,A450,0.36899,2019-08-06,12:52:20
G3,17,27.5,A450,0.35745,2019-08-06,12:52:20
G4,17,27.5,A450,0.05228,2019-08-06,12:52:20
G5,17,27.5,A450,0.052177,2019-08-06,12:52:20
H1,17,27.5,A450,0.05578,2019-08-06,12:52:20
H2,17,27.5,A450,0.054163,2019-08-06,12:52:20
H3,17,27.5,A450,0.053747,2019-08-06,12:52:20
H4,17,27.5,A450,0.053106,2019-08-06,12:52:20
H5,17,27.5,A450,0.053686,2019-08-06,12:52:20
